0,0
0,10
10,0
10,10
2.819,1.379
5,6.86357
9.65271,5
0.617309,5.43046
6.71569,2.28394
8.00515,7.6265
3.40552,4.3217
2.21179,7.97233
0.425023,2.702
6.94565,4.98128
9.27563,2.46175
4.59957,2.55391
8.10628,0.780218
2.4732,6.03732
5.10577,5.02618
2.17302,3.03755
7.91458,3.5402
8.29236,5.97667
6.65843,6.63111
6.11368,8.77685
7.96283,9.68712
4.1025,8.66675
1.15871,1.20216
5.80761,3.59452
9.15998,8.68095
9.58834,7.0522
1.88193,4.55047
3.50401,7.16174
1.18098,6.84791
0.590488,8.42396
1.84533,9.79274
3.88424,5.77845
0.602502,4.0605
8.01524,2.09088
9.36666,1.15109
9.20407,3.76951
2.8869,9.05533
3.43831,3.05669
4.56382,3.81691
8.37043,4.71704
7.32803,8.64334
5.1443,8.06034
6.04207,5.67389
6.82571,9.66377
6.61667,7.76253
6.86925,3.88364
5.08435,9.15545
1.91521,1.98206
5.67187,2.53059
3.67696,2.01544
5.09449,0.646285
6.59743,0.77973
3.89592,0.823756
5.779,1.46715
9.3526,6.0177
8.9672,0.181524
1.56583,8.78938
9.00217,9.70846
4.61436,1.53973
6.01547,4.58428
2.73901,5.07063
1.61612,5.51716
0.880492,9.5209
3.26098,8.12988
2.16468,6.9808
1.21851,3.28918
7.63921,6.71288
8.6322,6.88575
7.35166,1.3863
5.86967,9.70201
4.82091,5.93152
4.1715,4.87701
4.25687,7.73386
1.28634,7.78603
0.310995,7.4206
0.258623,6.3939
2.56278,3.897
2.78985,2.32765
5.88834,7.16917
8.97241,7.76091
9.99867,8.03082
7.36985,5.81607
8.24111,8.80294
7.17353,3.04721
8.47632,2.85106
1.04048,2.0737
4.16993,6.60088
0.102516,9.13977
7.57218,4.38619
2.00511,1.13802
3.25997,6.35076
8.79447,1.76984
1.07564,4.74045
5.2778,4.22301
8.90684,5.33314
5.09528,3.19995
5.65961,6.39011
6.36686,3.01213
9.66747,9.28477
1.73242,6.29171
2.78341,7.44829
7.35191,0.613781
0.987088,6.10421
1.80304,3.78685
7.72845,5.13756
6.539,1.54108
7.28074,7.38655
5.90699,8.04248
5.84572,0.715675
3.82355,3.6996
9.0888,4.50858
9.81591,4.24347
3.47947,5.15297
1.54001,2.62131
8.49968,3.99027
0.339061,4.74841
5.22441,1.9484
2.17867,9.15928
2.63503,9.80386
3.78678,9.77477
4.37786,9.3442
4.13594,3.07553
6.68543,5.93667
3.57612,9.11576
7.79417,2.74488
0.538802,3.37798
3.06498,5.69602
3.49381,1.36583
3.143,0.685414
8.42478,8.15422
6.75203,8.99365
7.4017,9.31346
8.20512,1.44558
8.77732,0.826827
9.46551,1.81644
9.55655,0.505785
2.80229,3.27028
9.0958,3.10775
7.346,2.0564
6.10635,2.03724
4.75415,8.58818
5.4745,8.62761
2.67904,8.43298
5.39159,5.6136
